,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
154,"3-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Cara, RFO",2.0,3.0,1.0,66.0,99.0,Camella Savannah,"Cara, RFO",,,5788000
155,"5BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Ella, NRFO",3.0,5.0,1.0,100.0,194.0,Camella Quezon,Ella,2011.0,,8385000
156,"4-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Dani",3.0,4.0,,83.0,110.0,Camella Balanga Heights,Block7 Lot9,2016.0,,5870000
157,"4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Aberdeen Model",2.0,4.0,1.0,124.22,143.0,The Arcadia,Aberdeen Model,2020.0,,6574890
158,"4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Athens Model",4.0,4.0,2.0,176.62,168.0,The Arcadia,Athens Model,2020.0,,8982815
159,"3-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Cara, NRFO",2.0,3.0,1.0,66.0,88.0,Camella Monticello,"Cara, NRFO",2018.0,,5078000
160,"3BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Cara wCB, NRFO/RFO",2.0,3.0,1.0,66.0,99.0,Camella Provence,Cara wCB,2005.0,,6088000
161,"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Freya, NRFO",3.0,5.0,,142.0,156.0,Camella Taal,"Freya, NRFO",2014.0,,8967000
162,"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Gisella",2.0,4.0,,116.64,176.0,Verona,Gisella,,,7860000
163,"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -MARGARET Model",2.0,3.0,1.0,72.0,100.0,Lancaster New City,,,,5690000
164,"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -AIRA Model",2.0,3.0,1.0,80.0,92.0,Lancaster New City,,,,5282600
165,"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Criselle, NRFO",1.0,2.0,,40.0,60.0,Camella Gran Europa,"Criselle, NRFO",,,3217730
166,"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -GABRIELLE Model",2.0,3.0,1.0,84.0,120.0,Lancaster New City,,,,6650000
167,"3BR Townhouse for Sale at Zen Homes in Village East Executive Homes, Antipolo City | 8.8M",2.0,3.0,2.0,119.0,98.0,Zen Homes,,2022.0,,8800000
168,"2-Bedroom Townhouse for Sale in The Villages at Lipa, Brook Village, Batangas - with Special Offer",1.0,2.0,1.0,53.0,52.0,The Villages at Lipa,,,,2900000
169,"2-Storey 5BR House and Lot (Amadea Model) for Sale in Siena Hills, Lipa City, Batangas",3.0,5.0,1.0,179.02,176.0,Siena Hills,Amadea,,,8215625
170,"2-Storey 4BR House and Lot (Sofia Model) for Sale in Governor's Hills, General Trias, Cavite",2.0,4.0,1.0,115.08,132.0,Governor's Hills,Sofia,,,6344860
171,"2-Storey 3BR House and Lot (Leia Duplex) for Sale in Suntrust Sentosa, Calamba, Laguna",1.0,3.0,1.0,60.0,80.0,Sentosa,Leia Duplex,,,2925600
172,"Bungalow House and Lot (Aeon Duplex) for Sale in Suntrust Sentosa, Calamba, Laguna",1.0,1.0,1.0,41.0,60.0,Sentosa,Aeon Duplex,,,1562440
173,"2-Storey 3-Bedroom Townhome Inner Unit for Sale - Estanzia Enclave, Tanza Cavite",2.0,3.0,1.0,55.0,50.0,Estanzia Enclave,townhome inner unit,2021.0,,3000000
174,"3BR Quadruplex (Azumi Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna",2.0,3.0,1.0,80.93,60.0,Sentosa,Azumi Townhouse Inner,,,2459200
175,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L14 (LILY-INNER)",1.0,1.0,,34.0,28.0,Marytown Place,Blk14 Lot14 (LILY-INNER),2019.0,,795073
176,"3-Bedroom House (Jasmine Model) for Sale in Ameria, Panabo, Davao del Norte ",2.0,3.0,,124.0,221.0,Ameria,,,,10000000
177,"5-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Ella, NRFO",3.0,5.0,1.0,100.0,121.0,Camella Monticello,"Ella, NRFO",2018.0,,6975000
178,"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Arielle, NRFO",1.0,2.0,,36.0,42.0,Camella Monticello,"Arielle, NRFO",2018.0,,2313000
179,"5-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Ella, NRFO",3.0,5.0,1.0,100.0,110.0,Camella Savannah,"Ella, NRFO",,,7185000
180,"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Arielle EU, NRFO",1.0,2.0,,36.0,60.0,Camella Gran Europa,"Arielle EU, NRFO",,,3079935
181,"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Criselle Combo, NRFO",1.0,2.0,,40.0,108.0,Camella Quezon,Criselle Combo,2011.0,,4160000
182,"4-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Dani, NRFO",3.0,4.0,,83.0,99.0,Camella Gran Europa,"Dani, NRFO",,,6481315
183,"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Frielle, NRFO",1.0,2.0,,50.0,65.0,Camella Gran Europa,"Frielle, NRFO",,,3930585
184,"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Alli",1.0,2.0,,40.0,88.0,Camella Baliwag,Alli,2009.0,,3935100
185,"For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",2.0,3.0,1.0,75.0,112.0,PTC Suncrest,Rosanna (Single Attached),,,5234791
186,"2-Storey 3BR House and Lot (Celestina Model) for Sale in Siena Hills, Lipa City, Batangas",3.0,3.0,1.0,123.42,150.0,Siena Hills,Celestina,,,6303625
187,"M-R-3-469- Acquired Property for Sale in Unit 2M, 2/F, Renoir Tower, Presidio at Lakefront (Britanny Bay) Condominium, Brgy. Sucat, Muntinlupa City - Retail",,,,51.17,,,,,,3581900
188,"Townhouse End Unit for Sale in Ajoya Capas, Tarlac - with Special Offer",2.0,,1.0,49.0,86.0,Ajoya Capas,,,,2500000
189,"Shophouse for Sale in Ajoya Capas, Tarlac - with Special Offer",2.0,,1.0,99.0,60.0,Ajoya Capas,,,,8300000
190,"4BR Single Attached House and Lot for Sale in The Villages at Lipa, Brook Village, Batangas - with Special Offer",2.0,4.0,1.0,80.0,103.0,The Villages at Lipa,,,,4600000
191,Shophouse for Sale in Ajoya Pampanga (Mexico) - with Special Offer,2.0,,1.0,102.0,60.0,Ajoya Pampanga,,,,5200000
192,"3BR House and Lot (Sabrina Model) for Sale in San Francisco Heights, Calamba, Laguna",2.0,3.0,,60.0,110.0,San Francisco Heights,Sabrina,,,4442000
193,"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Freya, NRFO/RFO",3.0,5.0,1.0,140.0,121.0,Camella Provence,Freya,2005.0,,8654000
194,"4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -BRIANA Model",3.0,4.0,2.0,110.0,100.0,Lancaster New City,,,,6756360
195,"3BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",2.0,3.0,2.0,103.0,143.0,The Villages at Lipa,,,,6000000
196,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3.0,3.0,,250.0,92.0,Likha Residences,,2019.0,,28251000
197,"4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -ALEXANDRA Model",3.0,4.0,2.0,100.0,120.0,Lancaster New City,,,,7410000
198,"Niran Two Storey SD for Sale in Sentosa, Calamba Laguna",2.0,4.0,1.0,115.08,176.0,Sentosa,Niran Two Storey SD,,,6396780
199,"2-Storey 4BR House and Lot (Shanata Model) for Sale in Suntrust Sentosa, Calamba, Laguna",4.0,4.0,2.0,171.5,176.0,Sentosa,Shanata,,,8557360
200,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L60 (LILY-INNER)",1.0,1.0,,34.0,28.0,Marytown Place,Blk9 Lot60 (LILY-INNER),2019.0,,795073
201,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L1-A (LILY-CORNER)",1.0,1.0,,34.0,39.0,Marytown Place,Blk8 Lot1-A (LILY-CORNER),2019.0,,973608
202,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L64 (LILY-INNER)",1.0,1.0,,34.0,52.0,Marytown Place,Blk9 Lot64 (LILY-INNER),2019.0,,1013431
203,"2BR Quadruplex Townhouse (TH-46) for Sale in Avila Heights, Santo Tomas, Batangas",2.0,2.0,,46.0,51.0,Avila Heights,TH-46,,,2464168
204,"2-Storey 3-Bedroom Townhome End Unit for Sale in Estanzia Enclave, Tanza, Cavite",2.0,3.0,2.0,55.0,80.0,Estanzia Enclave,townhome end unit,2021.0,,3200000
205,"Bungalow House (Molave Model) for Sale in Ameria, Panabo, Davao del Norte ",4.0,3.0,,138.0,337.0,Ameria,,,,10000000
206,"4BR House and Lot (Savannah Model) for Sale in San Francisco Heights, Calamba, Laguna",2.0,4.0,,80.0,110.0,San Francisco Heights,Savannah,,,5770000
207,"3 bedroom House and Lot for Sale in San Francisco Heights, Calamba- Scarlett",2.0,3.0,,72.0,110.0,San Francisco Heights,,,,4767000
208,"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Savannah",2.0,4.0,,80.0,110.0,San Francisco Heights,,,,5770000
209,"2-Storey 3-Bedroom House and Lot (Alto Model) for Sale in Gran Avila, Calamba, Laguna ",1.0,3.0,,60.0,90.0,Gran Avila,Alto,,,2902810
210,"3-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Cara",2.0,3.0,1.0,66.0,99.0,Camella Baliwag,Cara,2009.0,,5573800
211,"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Arielle IU, NRFO",1.0,2.0,,36.0,36.0,Camella Quezon,Arielle IU,2011.0,,2094000
212,"3-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Mara, RFO",2.0,3.0,1.0,53.0,180.0,Camella Gran Europa,"Mara, RFO",,,9918340
213,"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Arielle",1.0,2.0,,36.0,36.0,Camella Baliwag,Arielle,2009.0,,2198000
214,"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ella, NRFO",3.0,5.0,,100.0,110.0,Camella Taal,"Ella, NRFO",,,6814000
215,"5-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Greta",3.0,5.0,2.0,166.0,143.0,Camella Baliwag,Greta,2009.0,,9594100
216,"4BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Dana wCB, NRFO",3.0,4.0,1.0,85.0,110.0,Camella Provence,Dana wCB,2005.0,,6970000
217,"5-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Freya Corner, RFO",3.0,5.0,1.0,142.0,140.0,Camella Savannah,"Freya Corner, RFO",,,9168000
218,"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Ella, NRFO",3.0,5.0,,100.0,110.0,Camella Gran Europa,"Ella, NRFO",,,7324830
219,"3-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Cara, NRFO",2.0,3.0,,66.0,99.0,Camella Gran Europa,"Cara, NRFO",,,5952320
220,"3-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2.0,3.0,1.0,72.0,92.0,Ajoya Cabanatuan,,,,4200000
221,"4-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2.0,4.0,1.0,96.0,153.0,Ajoya Cabanatuan,,,,5700000
222,"Metro Tagaytay - Daphne Single Attached 2BR House and Lot for Sale in Montebello, Alfonso, Cavite",2.0,2.0,1.0,150.0,,Montebello,Daphne SA,,,6900000
223,,,,,,,,,,,
224,"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Erica Model",2.0,2.0,1.0,40.0,45.0,Hana South,Erica model,,,2089739
225,"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ANICA Model",1.0,3.0,1.0,50.0,50.0,Lancaster New City,,,,2389000
226,"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -AIRA Model",2.0,3.0,1.0,80.0,92.0,Lancaster New City,,,,5282600
227,"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -CHESSA Model",3.0,3.0,2.0,90.0,100.0,Lancaster New City,,,,5978000
228,"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Caterina",3.0,4.0,,136.25,176.0,Verona,,,,8466000
229,"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit Elevated Garden",3.0,3.0,,323.8,90.0,Likha Residences,,2019.0,,42997000
230,"3BR House (Bougainvillea Model) for Sale in Ameria, Panabo, Davao del Norte",3.0,3.0,1.0,129.0,221.0,Ameria,,,,9222110
231,"Bungalow House for Sale in Ameria, Panabo, Davao del Norte - Molave Model",4.0,3.0,,138.0,388.0,Ameria,,,,12000000
232,"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -GABRIELLE Model",2.0,3.0,1.0,84.0,120.0,Lancaster New City,,,,6650000
233,"Single Detached Bungalow House (Aeon Combined) for Sale in Suntrust Sentosa, Calamba, Laguna",2.0,2.0,1.0,71.0,120.0,Sentosa,Aeon Combined,,,3124880
234,The Gentri Heights: Kirana 2-Storey House for Sale in General Trias Cavite,2.0,3.0,1.0,82.3,98.0,The Gentri Heights,,,,4730620
235,"3-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Caballero Model",2.0,3.0,,122.0,388.0,Ameria,,,,10399874
236,"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang- Mariella Premium",1.0,3.0,,93.91,88.0,Verona,Mariella Premium,,,4956000
237,"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang- Mariella Standard",1.0,3.0,,63.51,88.0,Verona,Mariella Standard,,,4460000
238,"3BR House and Lot (Scarlett Model) for Sale in San Francisco Heights, Calamba, Laguna",2.0,3.0,,72.0,110.0,San Francisco Heights,Scarlett,,,4767000
239,"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Orabella",3.0,4.0,,147.23,176.0,Verona,Orabella,,,8913000
240,"4BR House and Lot (Serena Model) for Sale in San Francisco Heights, Calamba, Laguna",2.0,4.0,,83.0,110.0,San Francisco Heights,Serena,,,5400000
241,"2-Storey 4BR Single Detached House and Lot (Wallace Model) for Sale in Washington Place, Dasmariñas, Cavite",2.0,4.0,1.0,83.0,140.0,Washington Place,Wallace,,,6298845
242,"3-Bedroom Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model",2.0,3.0,1.0,75.0,80.0,PTC Suncrest,Rosanna (Single Attached),,,5234791
243,"3BR Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model",2.0,3.0,1.0,75.0,80.0,PTC Suncrest,Rosanna (Single Attached),,,5234791
244,"5BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Greta, RFO",3.0,5.0,,166.0,251.0,Camella Quezon,Greta,2011.0,,11553000
245,"5-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Ella",3.0,5.0,1.0,100.0,110.0,Camella Baliwag,Ella,2009.0,,7062300
246,"5-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Freya, NRFO",3.0,5.0,1.0,142.0,143.0,Camella Monticello,"Freya, NRFO",2018.0,,8407000
247,"3-Bedroom Townhouse for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",2.0,3.0,2.0,93.0,108.0,The Villages at Lipa,,,,4700000
248,"Duplex House and Lot Side by Side Roadside for Sale in Ajoya Capas, Tarlac - with Special Offer",2.0,,1.0,66.0,79.0,Ajoya Capas,,,,2800000
249,"2-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2.0,2.0,1.0,74.0,88.0,Ajoya Cabanatuan,,,,3800000
250,"4-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ADELLE Model",2.0,4.0,1.0,70.0,60.0,Lancaster New City,,,,3336800
251,"2BR 2-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavite | Angela Ph 2",2.0,2.0,1.0,111.0,100.0,Ara Vista Village,Angela Phase 2,,,4851616
252,"Townhouse with 2 Bedrooms for Sale at Hana South in Trece Martires, Cavite | Erica Model",2.0,2.0,1.0,40.0,45.0,Hana South,Erica model,,,2089739
253,"Azalea 3BR Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas | B1 L26",2.0,3.0,1.0,65.0,90.97,Primavera Homes Phase 2,Block 1 Lot 26,,,3430000
254,"RFO 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit with Extra Lot",3.0,3.0,,237.85,124.0,Likha Residences,,2019.0,,29283000
255,"2-Storey 4BR Single Detached House and Lot (Washington Model) for Sale in Washington Place, Dasmariñas, Cavite",3.0,4.0,1.0,103.0,168.0,Washington Place,Washington,,,9614253
256,"2-Storey 3BR House and Lot (Wharton Model) for Sale in Washington Place, Dasmariñas, Cavite",2.0,3.0,1.0,73.0,140.0,Washington Place,Wharton,,,5692980
257,"2-Bedroom Townhouse for Sale at PHINMA Maayo San Jose in San Jose, Batangas | Rosario Model",2.0,2.0,1.0,48.26,50.0,PHINMA Maayo San Jose,Rosario,2023.0,,3280000
258,"3BR Quadruplex Townhouse (TH-64) for Sale in Avila Heights, Santo Tomas, Batangas",2.0,3.0,,64.0,51.0,Avila Heights,TH-64,,,2984737
259,"Azumi  Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna",2.0,3.0,1.0,80.93,60.0,Sentosa,Azumi  Quadruplex Townhouse,,,2459200
260,"Leia Two Storey Duplex for Sale in Sentosa, Calamba Laguna",1.0,3.0,1.0,60.0,80.0,Sentosa,Leia Two Storey Duplex,,,2925600
261,"4-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - with Special Offer",3.0,4.0,2.0,150.0,200.0,Seafront Residences,,,,14100000
262,"2BR Bungalow House (Francine Model) for Sale in San Francisco Heights, Calamba, Laguna",2.0,2.0,,46.0,110.0,San Francisco Heights,Francine,,,2918180
263,"2BR Duplex House and Lot (Aya Model) for Sale in Suntrust Sentosa, Calamba, Laguna",1.0,2.0,1.0,52.0,80.0,Sentosa,Aya,,,1817900
264,RFO 3BR Townhouse for sale in The Arcadia | Boundary of Angeles and Porac Pampanga | Anais Inner Unit Complete,1.0,3.0,1.0,78.73,63.0,The Arcadia,Anais Inner Unit Complete,2020.0,,3177163
265,"4BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Dana, NRFO",3.0,4.0,,85.0,99.0,Camella Provence,Dana,2005.0,,6489000
266,"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Frielle, NRFO",1.0,2.0,,50.0,79.0,Camella Monticello,"Frielle, NRFO",2018.0,,3966000
267,"4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Adelaide Model",2.0,4.0,1.0,144.87,154.0,The Arcadia,Adelaide Model,2020.0,,8215525
268,"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Brielle",1.0,2.0,,40.0,40.0,Camella Provence,"Brielle, BTS/RFO",2005.0,,2338000
269,"Duplex House and Lot Side by Side Parkside for Sale in Ajoya Capas, Tarlac - with Special Offer",2.0,,1.0,66.0,79.0,Ajoya Capas,,,,3600000
270,"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3.0,3.0,,323.8,105.0,Likha Residences,,2019.0,,42577000
271,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L42 (LILY-INNER)",1.0,1.0,,34.0,52.0,Marytown Place,Blk9 Lot42 (LILY-INNER),2019.0,,1013431
272,"3BR House for Sale in Ameria, Panabo, Davao del Norte - Bougainvillea Model",3.0,3.0,1.0,129.0,388.0,Ameria,,,,10953047
273,"4-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Aurora Model",3.0,4.0,2.0,206.0,388.0,Ameria,,,,12864917
274,"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Arielle IU",1.0,2.0,,36.0,42.0,Camella Balanga Heights,Block17 Lot18,2016.0,,2153000
275,"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Criselle, NRFO",1.0,2.0,,40.0,66.0,Camella Taal,"Criselle, NRFO",2014.0,,2883000
276,"4-Bedroom Single Detached House and Lot for for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Arrah Model",2.0,4.0,1.0,96.84,98.0,The Arcadia,Arrah Model,2020.0,,5379890
277,"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Bella, NRFO",2.0,2.0,,53.0,88.0,Camella Monticello,"Bella, NRFO",2018.0,,4516000
278,"2BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Bella, NRFO/BTS",2.0,2.0,,53.0,88.0,Camella Provence,Bella,2005.0,,5013000
279,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",3.0,3.0,,250.0,93.0,Likha Residences,,2019.0,,29854000
280,"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ANICA Model",1.0,3.0,1.0,50.0,50.0,Lancaster New City,,,,2389000
281,"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Criselle",1.0,2.0,,40.0,63.0,Camella Provence,"Criselle, NRFO/BTS/RFO",2005.0,,3243000
282,"2-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Aliyah, NRFO",1.0,2.0,,46.0,88.0,Camella Savannah,"Aliyah, NRFO",,,4122000
283,"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Mikaela IU, RFO",2.0,2.0,,44.0,46.0,Camella Gran Europa,"Mikaela IU, RFO",,,3488645
284,"4-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Dana CB, RFO",3.0,4.0,,85.0,110.0,Camella Savannah,"Dana CB, RFO",,,6930000
285,"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, NRFO",2.0,2.0,,53.0,88.0,Camella Taal,"Bella, NRFO",2014.0,,4592000
286,"4BR Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Atlanta Model",3.0,4.0,2.0,173.1,168.0,The Arcadia,Atlanta Model,2020.0,,9440500
287,"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit Elevated Garden",3.0,3.0,,323.8,90.0,Likha Residences,,2019.0,,42997000
288,"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L4 (LILY-INNER)",1.0,1.0,,34.0,28.0,Marytown Place,Blk14 Lot4 (LILY-INNER),2019.0,,795073
289,"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Serena ",2.0,4.0,,83.0,110.0,San Francisco Heights,,,,5400000
290,"2-Storey 3BR Single Detached House and Lot (Wellington Model) for Sale in Washington Place, Dasmariñas, Cavite",2.0,3.0,1.0,78.0,160.0,Washington Place,Wellington,,,6265385
